msno,city,bd,gender,registered_via,registration_init_time,expiration_date,membership_days,age_group,registration_year,reg_month,reg_weekday
zgPOEyUn5a/Fvuzb3m69ajzxjkbblVtObglW89FzLdo=,13,43,female,9,2012-07-03,2017-10-06,1921,40s,2012,7,1
GoFYKhcq8Q5Gjz1M5L0azHZOhcY+Za/T7fRqIGgBuYA=,12,28,male,9,2006-05-31,2017-08-16,4095,20s,2006,5,2
RoSfblbwJN/izEnFIVw8TgOpm8R/NEpUC84Oz/b32HQ=,15,33,female,3,2015-09-15,2017-10-19,765,30s,2015,9,1
vUzJAyFEudsnkWwfcLIKT5mJAV+uVRTW2uajCrghFwI=,13,20,male,3,2014-04-10,2017-04-27,1113,10s,2014,4,3
Ev+ouoRTpAjrtxNVeThP6t9xnDG1puQaG28DvJ2db+A=,13,30,male,9,2007-03-30,2017-06-12,3727,20s,2007,3,4
2g1ydVe2XxKPTMf2P9BhFfZOUC0Kteti8KyMr6iVaj0=,5,29,male,4,2016-11-24,2017-08-08,257,20s,2016,11,3
ox62m0QICnrFa8/ZM5jJ5WBidWIieREUjUdCiWExLSU=,6,26,female,7,2014-01-18,2017-09-17,1338,20s,2014,1,5
95tnnY+Zq8f4jpk5SaDWcmnngD9dFe/OwxAqhss6T8k=,4,25,female,3,2015-06-24,2015-07-01,7,20s,2015,6,2
Der2/cdVesg2+u1UZX/u11dZBM/FWtNl1TlKIK82puw=,11,21,female,9,2014-08-17,2017-12-31,1232,20s,2014,8,6
gVhSsPpgPahjgc3otkuh5me02Tk9MFKkISphH5oKQVo=,15,22,male,4,2015-10-29,2017-10-06,708,20s,2015,10,3
H/6Rt7HmjNUxYmLAMQxAhzgXKy+m3QdkAxFEl6TraVg=,11,16,female,4,2015-10-18,2017-03-16,515,10s,2015,10,6
UjuPJCQo/YoGVR/yJ+CocmWUk2czJE0BBKqaPpVYV64=,13,23,female,9,2013-05-18,2017-12-02,1659,20s,2013,5,5
